Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
Galapagos Rift,îles Galapagos,Amérique du Sud,Galápagos Rift (Clambake vent area),0,1972,Historical Observations;
Kavachi,îles Salomon,Océanie,,0,1972,Historical Observations;
Central Bismarck Sea,Papouasie Nouvelle Guinée,Océanie,,0,1972,Hydrophonic;
Rocard,Tahiti,Océanie,,0,1972,Hydrophonic;
Korovin,Alaska,Amérique du Nord,,0,1973,Historical Observations;
"Kilauea,Hawaï,Amérique du Nord,""East rift zone, Pauahi, Hiiaka"",0,1973,Historical Observations";
"Kilauea,Hawaï,Amérique du Nord,""East rift zone, Pauahi"",0,1973,Historical Observations";
Rumble III,Nouvelle-Zélande,Océanie,,0,1973,Hydrophonic;
Vailulu'u,Océan pacifique,Océanie,,0,1973,Hydrophonic;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1974,Historical Observations;
"Kilauea,Hawaï,Amérique du Nord,""Kilauea Caldera, Keanakakoi"",0,1974,Historical Observations";
Kilauea,Hawaï,Amérique du Nord,Kilauea Caldera (Halemaumau and to SW),0,1974,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,SW rift zone (1095 m),0,1974,Historical Observations;
Kuwae,Vanuatu,Océanie,Karua,0,1974,Historical Observations;
"Kilauea,Hawaï,Amérique du Nord,""Kilauea Caldera, Halemaumau"",0,1975,Historical Observations";
"Mauna Loa,Hawaï,Amérique du Nord,""Mokuaweoweo and NE and SW rift zones,"",0,1975,Historical Observations";
Krafla,Islande,Europe,1.5-2.5 km north of Leirhnjúkur,0,1975,Historical Observations;
Minami-Hiyoshi,Japon,Asie,23.50 N 141.92 E,0,1975,Historical Observations;
Telica,Nicaragua,Amérique du Nord,,0,1975,Historical Observations;
Axial Seamount,Océan Pacifique,Amérique du Nord,,0,1976,Historical Observations;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1977,Hydrophonic;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1977,Hydrophonic;
Kilauea,Hawaï,Amérique du Nord,East rift zone (near Kalalua Crater),0,1977,Historical Observations;
"Fournaise, Piton de la,île de la Réunion,Afrique,""NE and SE of Dolomieu, NE rift zone"",0,1977,Historical Observations";
Monowai,îles Cermadec,Océanie,,0,1977,Hydrophonic;
Monowai,îles Cermadec,Océanie,,0,1977,Historical Observations;
Mahawu,Indonésie,Asie,,0,1977,Historical Observations;
Macdonald,Polynésie Française,Amérique du Sud,,0,1977,Hydrophonic;
Monowai,îles Cermadec,Océanie,,0,1978,Hydrophonic;
Kilauea,Hawaï,Amérique du Nord,East rift zone (Pauahi Crater),0,1979,Historical Observations;
Macdonald,Polynésie Française,Amérique du Sud,,0,1979,Hydrophonic;
Epi,Vanuatu,Océanie,South flank of Epi B,0,1979,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,East rift zone (near Mauna Ulu),0,1980,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1980,Hydrophonic;
Krafla,Islande,Europe,Leirhnjúkur to 11 km north,0,1980,Historical Observations;
Macdonald,Polynésie Française,Amérique du Sud,,0,1980,Hydrophonic;
Macdonald,Polynésie Française,Amérique du Sud,,0,1980,Hydrophonic;
Fernandina,îles Galapagos,Amérique du Sud,South caldera rim,0,1981,Historical Observations;
Krafla,Islande,Europe,6-8 km N of Leirhnjúkur,0,1981,Historical Observations;
Krafla,Islande,Europe,Leirhnjúkur to 9 km north,0,1981,Historical Observations;
Shikotsu,Japon,Asie,Tarumai,0,1981,Historical Observations;
"Cleft Segment,Hawaï,Amérique du Nord,""N Cleft Segment, S Juan de Fuca Ridge"",0,1982,Historical Observations";
Kilauea,Hawaï,Amérique du Nord,Kilauea Caldera (NE of Halemaumau),0,1982,Historical Observations;
Kilauea,Hawaï,Amérique du Nord,Kilauea Caldera (SSE of Halemaumau),0,1982,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1982,Hydrophonic;
Teahitia,îles du vent,Océanie,,0,1982,Hydrophonic;
Macdonald,Polynésie Française,Amérique du Sud,,0,1982,Hydrophonic;
Teahitia,îles du vent,Océanie,,0,1983,Hydrophonic;
Teahitia,îles du vent,Océanie,,0,1983,Hydrophonic;
Macdonald,Polynésie Française,Amérique du Sud,,0,1983,Hydrophonic;
Macdonald,Polynésie Française,Amérique du Sud,,0,1983,Hydrophonic;
Lascar,Chili,Amérique du Sud,Western crater of east summit cone,0,1984,Historical Observations;
"Mauna Loa,Hawaï,Amérique du Nord,""Mokuaweoweo, SW and NE rift zones"",0,1984,Historical Observations";
Krafla,Islande,Europe,Leirhnjúkur to 8.5 km north,0,1984,Historical Observations;
Kaitoku Seamount,Japon,Asie,Higashi-Kaitokuba,0,1984,Historical Observations;
Teahitia,îles du vent,Océanie,,0,1985,Hydrophonic;
"Jan Mayen,Norvège,Europe,""Beerenberg (NE flank, 0-200 m)"",0,1985,Historical Observations";
Niuafo'ou,Tonga,Océanie,NE part of caldera lake (Vai Lahi),0,1985,Historical Observations;
"Cleft Segment,Hawaï,Amérique du Nord,""N Cleft Segment, S Juan de Fuca Ridge"",0,1986,Historical Observations";
Monowai,îles Cermadec,Océanie,,0,1986,Hydrophonic;
Rumble III,Nouvelle-Zélande,Océanie,,0,1986,Hydrophonic;
Macdonald,Polynésie Française,Amérique du Sud,,0,1986,Hydrophonic;
"CoAxial Segment,USA,Amérique du Nord,""CoAxial segment, Juan de Fuca Ridge"",0,1986,Historical Observations";
Fukutoku-Oka-no-Ba,Japon,Asie,,0,1987,Historical Observations;
Macdonald,Polynésie Française,Amérique du Sud,,0,1987,Historical Observations;
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1988,Hydrophonic;
Northern EPR at 9.8°N,Hawaï,Amérique du Nord,East Pacific Rise (9.3 deg N),0,1988,Historical Observations;
Monowai,îles Cermadec,Océanie,,0,1988,Hydrophonic;
Hunga Tonga-Hunga Ha'apai,Tonga,Océanie,1 km SSE of Hunga Ha'apai,0,1988,Historical Observations;
"Supply Reef,îles Mariannes du Nord,Asie,""Volcano Uncertain: NW of Supply Reef (~20.3 N, 144.9E)"",0,1989,Hydrophonic";
Kick 'em Jenny,Antilles,Amérique du Nord,,0,1990,Hydrophonic;
